text,label
Missing authentication checks,3
Signup workflow is broken,1
Layout issue on settings screen,0
Button alignment breaks on mobile screen,0
Layout issue on settings screen,0
Signup workflow is broken,1
Signup workflow is broken,1
API returns incorrect response,1
Unauthorized access is possible,3
Feature does not work as expected,1
Page timeout issue occurs,2
Signup workflow is broken,1
Page timeout issue occurs,2
Text overlaps on dashboard page,0
Text overlaps on dashboard page,0
Missing authentication checks,3
Layout issue on settings screen,0
Page timeout issue occurs,2
System freezes under heavy load,2
Form submission crashes application,1
Unauthorized access is possible,3
UI freezes after clicking submit,0
Memory usage spikes during operation,2
API returns incorrect response,1
High response time observed,2
Form submission crashes application,1
Feature does not work as expected,1
Application loads very slowly,2
Unauthorized access is possible,3
Password stored in plain text,3
Signup workflow is broken,1
Button alignment breaks on mobile screen,0
System freezes under heavy load,2
Text overlaps on dashboard page,0
Password stored in plain text,3
Form submission crashes application,1
Signup workflow is broken,1
SQL injection vulnerability detected,3
Login fails with valid credentials,1
Missing authentication checks,3
Unauthorized access is possible,3
Missing authentication checks,3
Unauthorized access is possible,3
Button alignment breaks on mobile screen,0
Signup workflow is broken,1
High response time observed,2
High response time observed,2
Password stored in plain text,3
SQL injection vulnerability detected,3
Missing authentication checks,3
Feature does not work as expected,1
Password stored in plain text,3
High response time observed,2
Page timeout issue occurs,2
API returns incorrect response,1
Form submission crashes application,1
Dropdown menu is not visible,0
Text overlaps on dashboard page,0
Session token remains valid after logout,3
Form submission crashes application,1
Page timeout issue occurs,2
Form submission crashes application,1
UI freezes after clicking submit,0
Memory usage spikes during operation,2
Memory usage spikes during operation,2
High response time observed,2
System freezes under heavy load,2
Unauthorized access is possible,3
Form submission crashes application,1
Login fails with valid credentials,1
Session token remains valid after logout,3
Session token remains valid after logout,3
Form submission crashes application,1
Form submission crashes application,1
Button alignment breaks on mobile screen,0
Memory usage spikes during operation,2
SQL injection vulnerability detected,3
Session token remains valid after logout,3
Login fails with valid credentials,1
Password stored in plain text,3
Application loads very slowly,2
Form submission crashes application,1
Signup workflow is broken,1
Button alignment breaks on mobile screen,0
SQL injection vulnerability detected,3
Layout issue on settings screen,0
System freezes under heavy load,2
Login fails with valid credentials,1
System freezes under heavy load,2
Page timeout issue occurs,2
Dropdown menu is not visible,0
API returns incorrect response,1
Form submission crashes application,1
UI freezes after clicking submit,0
Dropdown menu is not visible,0
Text overlaps on dashboard page,0
Signup workflow is broken,1
Memory usage spikes during operation,2
UI freezes after clicking submit,0
Dropdown menu is not visible,0
Feature does not work as expected,1
System freezes under heavy load,2
Dropdown menu is not visible,0
Page timeout issue occurs,2
Application loads very slowly,2
Application loads very slowly,2
Application loads very slowly,2
Memory usage spikes during operation,2
High response time observed,2
Signup workflow is broken,1
API returns incorrect response,1
Application loads very slowly,2
Text overlaps on dashboard page,0
Signup workflow is broken,1
Signup workflow is broken,1
Unauthorized access is possible,3
SQL injection vulnerability detected,3
Layout issue on settings screen,0
UI freezes after clicking submit,0
Button alignment breaks on mobile screen,0
Memory usage spikes during operation,2
Feature does not work as expected,1
Layout issue on settings screen,0
SQL injection vulnerability detected,3
SQL injection vulnerability detected,3
Login fails with valid credentials,1
Missing authentication checks,3
API returns incorrect response,1
Page timeout issue occurs,2
Button alignment breaks on mobile screen,0
Button alignment breaks on mobile screen,0
Memory usage spikes during operation,2
UI freezes after clicking submit,0
Signup workflow is broken,1
Text overlaps on dashboard page,0
Dropdown menu is not visible,0
API returns incorrect response,1
Layout issue on settings screen,0
Memory usage spikes during operation,2
Feature does not work as expected,1
Application loads very slowly,2
High response time observed,2
System freezes under heavy load,2
Button alignment breaks on mobile screen,0
Layout issue on settings screen,0
Dropdown menu is not visible,0
UI freezes after clicking submit,0
SQL injection vulnerability detected,3
Session token remains valid after logout,3
Memory usage spikes during operation,2
SQL injection vulnerability detected,3
UI freezes after clicking submit,0
High response time observed,2
Button alignment breaks on mobile screen,0
Memory usage spikes during operation,2
Text overlaps on dashboard page,0
API returns incorrect response,1
Layout issue on settings screen,0
Page timeout issue occurs,2
Login fails with valid credentials,1
Button alignment breaks on mobile screen,0
Text overlaps on dashboard page,0
Application loads very slowly,2
Signup workflow is broken,1
Feature does not work as expected,1
Memory usage spikes during operation,2
Text overlaps on dashboard page,0
Application loads very slowly,2
Session token remains valid after logout,3
System freezes under heavy load,2
High response time observed,2
Layout issue on settings screen,0
Login fails with valid credentials,1
Form submission crashes application,1
Page timeout issue occurs,2
Text overlaps on dashboard page,0
Feature does not work as expected,1
Session token remains valid after logout,3
High response time observed,2
Button alignment breaks on mobile screen,0
Page timeout issue occurs,2
Missing authentication checks,3
Missing authentication checks,3
Application loads very slowly,2
Layout issue on settings screen,0
Page timeout issue occurs,2
High response time observed,2
System freezes under heavy load,2
Button alignment breaks on mobile screen,0
UI freezes after clicking submit,0
Layout issue on settings screen,0
SQL injection vulnerability detected,3
Signup workflow is broken,1
High response time observed,2
Application loads very slowly,2
Application loads very slowly,2
Application loads very slowly,2
Page timeout issue occurs,2
Unauthorized access is possible,3
UI freezes after clicking submit,0
Password stored in plain text,3
API returns incorrect response,1
Application loads very slowly,2
Unauthorized access is possible,3
System freezes under heavy load,2
System freezes under heavy load,2
Memory usage spikes during operation,2
System freezes under heavy load,2
Dropdown menu is not visible,0
Layout issue on settings screen,0
System freezes under heavy load,2
Session token remains valid after logout,3
Button alignment breaks on mobile screen,0
SQL injection vulnerability detected,3
High response time observed,2
Layout issue on settings screen,0
Unauthorized access is possible,3
Signup workflow is broken,1
API returns incorrect response,1
Password stored in plain text,3
UI freezes after clicking submit,0
SQL injection vulnerability detected,3
Memory usage spikes during operation,2
Form submission crashes application,1
Signup workflow is broken,1
Text overlaps on dashboard page,0
Feature does not work as expected,1
System freezes under heavy load,2
Form submission crashes application,1
SQL injection vulnerability detected,3
Application loads very slowly,2
Missing authentication checks,3
API returns incorrect response,1
System freezes under heavy load,2
Feature does not work as expected,1
Page timeout issue occurs,2
Unauthorized access is possible,3
Form submission crashes application,1
Session token remains valid after logout,3
Unauthorized access is possible,3
High response time observed,2
Text overlaps on dashboard page,0
Session token remains valid after logout,3
Password stored in plain text,3
SQL injection vulnerability detected,3
Memory usage spikes during operation,2
Dropdown menu is not visible,0
Memory usage spikes during operation,2
Password stored in plain text,3
System freezes under heavy load,2
Session token remains valid after logout,3
UI freezes after clicking submit,0
Signup workflow is broken,1
Button alignment breaks on mobile screen,0
Session token remains valid after logout,3
Text overlaps on dashboard page,0
Dropdown menu is not visible,0
Text overlaps on dashboard page,0
Application loads very slowly,2
Missing authentication checks,3
SQL injection vulnerability detected,3
Button alignment breaks on mobile screen,0
UI freezes after clicking submit,0
Form submission crashes application,1
Login fails with valid credentials,1
Form submission crashes application,1
UI freezes after clicking submit,0
Missing authentication checks,3
Feature does not work as expected,1
Button alignment breaks on mobile screen,0
Application loads very slowly,2
Session token remains valid after logout,3
Session token remains valid after logout,3
Button alignment breaks on mobile screen,0
UI freezes after clicking submit,0
Memory usage spikes during operation,2
High response time observed,2
Form submission crashes application,1
Missing authentication checks,3
Login fails with valid credentials,1
Layout issue on settings screen,0
Feature does not work as expected,1
Signup workflow is broken,1
Unauthorized access is possible,3
Application loads very slowly,2
Signup workflow is broken,1
Feature does not work as expected,1
System freezes under heavy load,2
Application loads very slowly,2
Login fails with valid credentials,1
Session token remains valid after logout,3
Memory usage spikes during operation,2
Unauthorized access is possible,3
Button alignment breaks on mobile screen,0
Feature does not work as expected,1
Login fails with valid credentials,1
Page timeout issue occurs,2
Password stored in plain text,3
Password stored in plain text,3
Button alignment breaks on mobile screen,0
Signup workflow is broken,1
Session token remains valid after logout,3
Layout issue on settings screen,0
Dropdown menu is not visible,0
Login fails with valid credentials,1
Session token remains valid after logout,3
Text overlaps on dashboard page,0
Layout issue on settings screen,0
Password stored in plain text,3
Dropdown menu is not visible,0
Form submission crashes application,1
Login fails with valid credentials,1
Memory usage spikes during operation,2
Button alignment breaks on mobile screen,0
Login fails with valid credentials,1
Form submission crashes application,1
Signup workflow is broken,1
Layout issue on settings screen,0
Password stored in plain text,3
Feature does not work as expected,1
System freezes under heavy load,2
Dropdown menu is not visible,0
Session token remains valid after logout,3
Form submission crashes application,1
Password stored in plain text,3
System freezes under heavy load,2
UI freezes after clicking submit,0
Layout issue on settings screen,0
Button alignment breaks on mobile screen,0
SQL injection vulnerability detected,3
Layout issue on settings screen,0
Memory usage spikes during operation,2
Text overlaps on dashboard page,0
Form submission crashes application,1
System freezes under heavy load,2
Dropdown menu is not visible,0
High response time observed,2
Feature does not work as expected,1
Layout issue on settings screen,0
Login fails with valid credentials,1
Session token remains valid after logout,3
Application loads very slowly,2
Session token remains valid after logout,3
Text overlaps on dashboard page,0
Form submission crashes application,1
Login fails with valid credentials,1
Memory usage spikes during operation,2
Dropdown menu is not visible,0
Button alignment breaks on mobile screen,0
Unauthorized access is possible,3
Unauthorized access is possible,3
Login fails with valid credentials,1
Login fails with valid credentials,1
Login fails with valid credentials,1
SQL injection vulnerability detected,3
API returns incorrect response,1
UI freezes after clicking submit,0
Signup workflow is broken,1
Button alignment breaks on mobile screen,0
SQL injection vulnerability detected,3
Feature does not work as expected,1
SQL injection vulnerability detected,3
Session token remains valid after logout,3
Signup workflow is broken,1
Dropdown menu is not visible,0
API returns incorrect response,1
Login fails with valid credentials,1
Text overlaps on dashboard page,0
UI freezes after clicking submit,0
UI freezes after clicking submit,0
Signup workflow is broken,1
Memory usage spikes during operation,2
Form submission crashes application,1
Missing authentication checks,3
Signup workflow is broken,1
SQL injection vulnerability detected,3
Memory usage spikes during operation,2
High response time observed,2
Form submission crashes application,1
Unauthorized access is possible,3
Password stored in plain text,3
SQL injection vulnerability detected,3
Feature does not work as expected,1
Text overlaps on dashboard page,0
High response time observed,2
Dropdown menu is not visible,0
Text overlaps on dashboard page,0
UI freezes after clicking submit,0
Unauthorized access is possible,3
Missing authentication checks,3
API returns incorrect response,1
UI freezes after clicking submit,0
Signup workflow is broken,1
Signup workflow is broken,1
Layout issue on settings screen,0
Dropdown menu is not visible,0
Layout issue on settings screen,0
Form submission crashes application,1
Signup workflow is broken,1
Missing authentication checks,3
Text overlaps on dashboard page,0
Missing authentication checks,3
Session token remains valid after logout,3
System freezes under heavy load,2
SQL injection vulnerability detected,3
API returns incorrect response,1
Password stored in plain text,3
Feature does not work as expected,1
Login fails with valid credentials,1
Password stored in plain text,3
Feature does not work as expected,1
UI freezes after clicking submit,0
Session token remains valid after logout,3
Memory usage spikes during operation,2
Page timeout issue occurs,2
Unauthorized access is possible,3
Session token remains valid after logout,3
Page timeout issue occurs,2
Feature does not work as expected,1
System freezes under heavy load,2
System freezes under heavy load,2
API returns incorrect response,1
Button alignment breaks on mobile screen,0
Form submission crashes application,1
System freezes under heavy load,2
Text overlaps on dashboard page,0
SQL injection vulnerability detected,3
Button alignment breaks on mobile screen,0
UI freezes after clicking submit,0
Layout issue on settings screen,0
Dropdown menu is not visible,0
UI freezes after clicking submit,0
Text overlaps on dashboard page,0
API returns incorrect response,1
SQL injection vulnerability detected,3
Password stored in plain text,3
System freezes under heavy load,2
API returns incorrect response,1
SQL injection vulnerability detected,3
API returns incorrect response,1
System freezes under heavy load,2
Application loads very slowly,2
Layout issue on settings screen,0
Session token remains valid after logout,3
Session token remains valid after logout,3
Page timeout issue occurs,2
Missing authentication checks,3
Login fails with valid credentials,1
Text overlaps on dashboard page,0
System freezes under heavy load,2
Page timeout issue occurs,2
High response time observed,2
System freezes under heavy load,2
Text overlaps on dashboard page,0
Feature does not work as expected,1
Button alignment breaks on mobile screen,0
Button alignment breaks on mobile screen,0
High response time observed,2
UI freezes after clicking submit,0
API returns incorrect response,1
Form submission crashes application,1
High response time observed,2
Dropdown menu is not visible,0
Application loads very slowly,2
Session token remains valid after logout,3
Button alignment breaks on mobile screen,0
Missing authentication checks,3
Application loads very slowly,2
Text overlaps on dashboard page,0
Layout issue on settings screen,0
Password stored in plain text,3
API returns incorrect response,1
Layout issue on settings screen,0
Password stored in plain text,3
Password stored in plain text,3
Memory usage spikes during operation,2
Password stored in plain text,3
Application loads very slowly,2
System freezes under heavy load,2
Layout issue on settings screen,0
Signup workflow is broken,1
Session token remains valid after logout,3
Page timeout issue occurs,2
Page timeout issue occurs,2
Password stored in plain text,3
UI freezes after clicking submit,0
Layout issue on settings screen,0
Dropdown menu is not visible,0
High response time observed,2
Application loads very slowly,2
API returns incorrect response,1
Memory usage spikes during operation,2
Form submission crashes application,1
Missing authentication checks,3
Session token remains valid after logout,3
SQL injection vulnerability detected,3
Button alignment breaks on mobile screen,0
Session token remains valid after logout,3
High response time observed,2
Password stored in plain text,3
Signup workflow is broken,1
Dropdown menu is not visible,0
System freezes under heavy load,2
Application loads very slowly,2
Form submission crashes application,1
API returns incorrect response,1
Memory usage spikes during operation,2
API returns incorrect response,1
Feature does not work as expected,1
Session token remains valid after logout,3
Login fails with valid credentials,1
Missing authentication checks,3
System freezes under heavy load,2
Session token remains valid after logout,3
Unauthorized access is possible,3
Memory usage spikes during operation,2
Session token remains valid after logout,3
Memory usage spikes during operation,2
Button alignment breaks on mobile screen,0
Session token remains valid after logout,3
High response time observed,2
Missing authentication checks,3
Password stored in plain text,3
Application loads very slowly,2
Memory usage spikes during operation,2
Signup workflow is broken,1
SQL injection vulnerability detected,3
SQL injection vulnerability detected,3
API returns incorrect response,1
Signup workflow is broken,1
Unauthorized access is possible,3
Missing authentication checks,3
API returns incorrect response,1
Text overlaps on dashboard page,0
Application loads very slowly,2
Form submission crashes application,1
Page timeout issue occurs,2
System freezes under heavy load,2
High response time observed,2
System freezes under heavy load,2
Signup workflow is broken,1
Login fails with valid credentials,1
Session token remains valid after logout,3
Button alignment breaks on mobile screen,0
Form submission crashes application,1
Memory usage spikes during operation,2
Unauthorized access is possible,3
Dropdown menu is not visible,0
Session token remains valid after logout,3
High response time observed,2
Unauthorized access is possible,3
UI freezes after clicking submit,0
Layout issue on settings screen,0
Text overlaps on dashboard page,0
Text overlaps on dashboard page,0
API returns incorrect response,1
Text overlaps on dashboard page,0
SQL injection vulnerability detected,3
Unauthorized access is possible,3
Dropdown menu is not visible,0
High response time observed,2
Dropdown menu is not visible,0
High response time observed,2
Session token remains valid after logout,3
Dropdown menu is not visible,0
SQL injection vulnerability detected,3
API returns incorrect response,1
Layout issue on settings screen,0
Login fails with valid credentials,1
API returns incorrect response,1
System freezes under heavy load,2
System freezes under heavy load,2
Missing authentication checks,3
Text overlaps on dashboard page,0
System freezes under heavy load,2
Signup workflow is broken,1
Memory usage spikes during operation,2
Session token remains valid after logout,3
API returns incorrect response,1
Signup workflow is broken,1
Unauthorized access is possible,3
Application loads very slowly,2
Memory usage spikes during operation,2
Missing authentication checks,3
Text overlaps on dashboard page,0
Application loads very slowly,2
Application loads very slowly,2
Memory usage spikes during operation,2
SQL injection vulnerability detected,3
Page timeout issue occurs,2
Button alignment breaks on mobile screen,0
SQL injection vulnerability detected,3
Password stored in plain text,3
UI freezes after clicking submit,0
System freezes under heavy load,2
Form submission crashes application,1
Form submission crashes application,1
Feature does not work as expected,1
Signup workflow is broken,1
Memory usage spikes during operation,2
Button alignment breaks on mobile screen,0
Missing authentication checks,3
Feature does not work as expected,1
Memory usage spikes during operation,2
Memory usage spikes during operation,2
Feature does not work as expected,1
Unauthorized access is possible,3
Password stored in plain text,3
Session token remains valid after logout,3
UI freezes after clicking submit,0
High response time observed,2
Password stored in plain text,3
Password stored in plain text,3
UI freezes after clicking submit,0
Missing authentication checks,3
Dropdown menu is not visible,0
Application loads very slowly,2
Unauthorized access is possible,3
Unauthorized access is possible,3
Unauthorized access is possible,3
Login fails with valid credentials,1
Signup workflow is broken,1
Page timeout issue occurs,2
Feature does not work as expected,1
Memory usage spikes during operation,2
Text overlaps on dashboard page,0
Button alignment breaks on mobile screen,0
Page timeout issue occurs,2
Text overlaps on dashboard page,0
Feature does not work as expected,1
Session token remains valid after logout,3
UI freezes after clicking submit,0
SQL injection vulnerability detected,3
UI freezes after clicking submit,0
Missing authentication checks,3
